number,time,thscode,open,high,low,close,volume,amount,turnoverRatio
202,2025-03-24,000905.SH,5973.0466,5987.0606,5882.878,5969.0789,169192435.0,220094329256.0,1.511
201,2025-03-25,000905.SH,5969.4164,5993.9312,5929.6734,5946.951,147483948.0,192227014821.0,1.3171
200,2025-03-26,000905.SH,5935.8537,5983.4739,5935.8537,5948.4986,136702111.0,171695842017.0,1.2208
199,2025-03-27,000905.SH,5932.5165,6000.6615,5891.7664,5957.6017,134708904.0,176590477346.0,1.203
198,2025-03-28,000905.SH,5954.7297,5973.8015,5904.9159,5916.0314,134261927.0,168899478619.0,1.199
197,2025-03-31,000905.SH,5886.956,5908.3026,5802.4187,5857.7721,154256090.0,189563392181.0,1.3757
196,2025-04-01,000905.SH,5870.9424,5931.5038,5867.848,5892.8502,136448602.0,179327950525.0,1.2168
195,2025-04-02,000905.SH,5884.8925,5936.6467,5884.1126,5899.0865,112159960.0,140642079451.0,1.0002
194,2025-04-03,000905.SH,5842.6167,5906.7057,5817.9662,5845.5045,134938625.0,173662140192.0,1.2034
193,2025-04-07,000905.SH,5523.9636,5587.8502,5212.6773,5287.0333,236522656.0,267397400609.0,2.1085
192,2025-04-08,000905.SH,5279.7566,5371.1834,5249.2318,5326.914,223840665.0,261875349400.0,1.9954
191,2025-04-09,000905.SH,5249.6841,5465.1449,5135.9655,5439.7716,245118027.0,288257435804.0,2.1852
190,2025-04-10,000905.SH,5534.559,5610.1895,5513.9544,5544.0646,211963035.0,268666431277.0,1.889
189,2025-04-11,000905.SH,5514.188,5631.5954,5510.8949,5581.3184,164411663.0,227659789696.0,1.4652
188,2025-04-14,000905.SH,5633.7792,5661.8049,5608.7297,5627.1375,155487077.0,207470466691.0,1.3856
187,2025-04-15,000905.SH,5625.0005,5626.677,5567.0271,5602.534,123273708.0,161900884813.0,1.0985
186,2025-04-16,000905.SH,5589.7769,5592.6741,5492.6546,5556.8642,132537224.0,163751037650.0,1.1811
185,2025-04-17,000905.SH,5527.5905,5604.6198,5526.8881,5557.0105,113652382.0,148283242243.0,1.0128
184,2025-04-18,000905.SH,5546.9666,5579.4791,5525.4046,5560.7207,111644258.0,139804146812.0,0.9949
183,2025-04-21,000905.SH,5556.5126,5646.2179,5535.6994,5642.3805,123111883.0,160264813234.0,1.0969
182,2025-04-22,000905.SH,5634.8936,5651.5541,5617.8786,5624.209,124666689.0,164464321327.0,1.1107
181,2025-04-23,000905.SH,5647.9148,5670.2595,5614.7677,5634.9487,127007764.0,177991292765.0,1.1316
180,2025-04-24,000905.SH,5633.024,5651.5343,5583.4302,5605.8796,122696696.0,157899194341.0,1.0932
