number,time,thscode,open,high,low,close,amount,volume
276,2025-01-02,IMZL.CFE,5850.2000000000,5887.8000000000,5638.0000000000,5699.4000000000,19264464.7679999992,166462.0000000000
275,2025-01-03,IMZL.CFE,5721.0000000000,5727.0000000000,5529.0000000000,5553.4000000000,19930997.1959999986,176952.0000000000
274,2025-01-06,IMZL.CFE,5550.8000000000,5606.8000000000,5490.8000000000,5527.2000000000,16803611.5639999993,151560.0000000000
273,2025-01-07,IMZL.CFE,5536.0000000000,5608.6000000000,5496.2000000000,5599.0000000000,15589589.3479999993,140353.0000000000
272,2025-01-08,IMZL.CFE,5570.0000000000,5622.0000000000,5402.6000000000,5565.4000000000,22153010.9679999985,200605.0000000000
271,2025-01-09,IMZL.CFE,5540.2000000000,5615.0000000000,5539.2000000000,5561.2000000000,14260638.1079999991,127718.0000000000
270,2025-01-10,IMZL.CFE,5559.0000000000,5630.0000000000,5452.0000000000,5456.0000000000,18479784.1519999988,166760.0000000000
269,2025-01-13,IMZL.CFE,5429.6000000000,5525.0000000000,5381.0000000000,5480.8000000000,17376600.6319999993,159240.0000000000
268,2025-01-14,IMZL.CFE,5511.0000000000,5752.0000000000,5477.0000000000,5747.6000000000,23910012.3399999999,211844.0000000000
267,2025-01-15,IMZL.CFE,5733.0000000000,5745.0000000000,5673.6000000000,5702.4000000000,15874691.9959999993,139200.0000000000
266,2025-01-16,IMZL.CFE,5733.8000000000,5852.6000000000,5677.0000000000,5720.4000000000,22280579.1999999993,193605.0000000000
265,2025-01-17,IMZL.CFE,5703.0000000000,5832.0000000000,5686.0000000000,5778.0000000000,22601054.1119999997,196360.0000000000
264,2025-01-20,IMZL.CFE,5820.0000000000,5885.0000000000,5797.4000000000,5816.4000000000,18274038.5639999993,156432.0000000000
263,2025-01-21,IMZL.CFE,5855.0000000000,5872.8000000000,5766.0000000000,5845.6000000000,18501574.4759999998,159114.0000000000
262,2025-01-22,IMZL.CFE,5817.0000000000,5829.0000000000,5751.0000000000,5806.6000000000,16771873.1480000000,144804.0000000000
261,2025-01-23,IMZL.CFE,5859.0000000000,5961.8000000000,5775.0000000000,5776.2000000000,24168763.2239999995,206009.0000000000
260,2025-01-24,IMZL.CFE,5776.8000000000,5926.4000000000,5776.8000000000,5920.0000000000,21273671.7919999994,181477.0000000000
259,2025-01-27,IMZL.CFE,5948.4000000000,5954.0000000000,5786.0000000000,5790.6000000000,17571408.6559999995,150049.0000000000
258,2025-02-05,IMZL.CFE,5861.0000000000,5904.0000000000,5796.0000000000,5832.2000000000,17356813.7159999982,148296.0000000000
257,2025-02-06,IMZL.CFE,5828.8000000000,6012.0000000000,5797.0000000000,5988.6000000000,20731114.8720000014,174807.0000000000
256,2025-02-07,IMZL.CFE,5996.8000000000,6176.0000000000,5988.0000000000,6095.4000000000,26998446.1559999995,221664.0000000000
255,2025-02-10,IMZL.CFE,6115.0000000000,6169.8000000000,6083.0000000000,6143.6000000000,18422123.5560000017,150283.0000000000
254,2025-02-11,IMZL.CFE,6139.0000000000,6156.0000000000,6077.0000000000,6133.2000000000,16847852.3440000005,137719.0000000000
253,2025-02-12,IMZL.CFE,6123.4000000000,6227.8000000000,6119.4000000000,6223.0000000000,21121224.0760000013,170775.0000000000
252,2025-02-13,IMZL.CFE,6217.0000000000,6226.0000000000,6155.0000000000,6175.0000000000,21493295.6759999990,173716.0000000000
251,2025-02-14,IMZL.CFE,6178.0000000000,6219.8000000000,6132.0000000000,6205.2000000000,20441651.3200000003,165277.0000000000
250,2025-02-17,IMZL.CFE,6241.0000000000,6259.8000000000,6168.4000000000,6219.2000000000,20479306.5280000009,164701.0000000000
249,2025-02-18,IMZL.CFE,6206.6000000000,6236.0000000000,6065.6000000000,6110.2000000000,23923625.9279999994,194221.0000000000
248,2025-02-19,IMZL.CFE,6107.0000000000,6247.8000000000,6099.6000000000,6240.0000000000,22811675.6920000017,184332.0000000000
247,2025-02-20,IMZL.CFE,6231.8000000000,6291.8000000000,6206.0000000000,6254.4000000000,20937726.2560000010,167649.0000000000
246,2025-02-21,IMZL.CFE,6274.8000000000,6423.0000000000,6246.0000000000,6399.0000000000,25524148.5359999985,201141.0000000000
245,2025-02-24,IMZL.CFE,6380.0000000000,6409.8000000000,6327.8000000000,6366.6000000000,21958717.5920000002,172390.0000000000
244,2025-02-25,IMZL.CFE,6309.4000000000,6405.2000000000,6292.0000000000,6355.4000000000,22892829.0680000000,180068.0000000000
243,2025-02-26,IMZL.CFE,6376.6000000000,6465.0000000000,6322.2000000000,6420.8000000000,27159549.1519999988,212290.0000000000
242,2025-02-27,IMZL.CFE,6412.6000000000,6453.6000000000,6324.6000000000,6415.0000000000,26590168.9519999996,208253.0000000000
241,2025-02-28,IMZL.CFE,6387.8000000000,6397.0000000000,6208.0000000000,6230.4000000000,27160429.8200000003,216120.0000000000
240,2025-03-03,IMZL.CFE,6250.0000000000,6324.6000000000,6196.4000000000,6215.4000000000,24061841.1959999986,192032.0000000000
